id;database;id_comm;id_study;id_study_ori;citation;study;site;plot;id_comm_source;exact_lat;exact_long;age;age_ori;study_year;temp_persp_class2;stage;study_common_taxon;organism_threshold;metric;metric_source;aggregated_data;sampling_method;sampling_effort_within;sampling_effort_among;n_comm;n_comm_available;effort_ori;historic_impact;predisturbances;disturbance1_age;disturbance2;n_disturbances;current_impact;notes;priority;study_common_taxon_clean;study_common_taxon_strgroup;disturbance1_age_clean;disturbance2_clean;predisturbances_clean;current_impact_clean;postdisturbance;restoration;protection;use;recovering_cond;coord_accuracy;taxon_level;richness_study;richness;abund;shannon;PD;SR;error_class;realm;biome;ecoregion;country;region;continent;annualp;pseason;mairtemp;gslength;npp;nit_gkg;soc_gkg;ph;bd_gcm3;biome2
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p1_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p1_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p1;NA;p1;51.123051;3.221795;2;2;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;12;34.14;1.6165893878597415;741.458122;10;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.7;14.1;10.650000000000034;365;1245;2.58;31.1;5.7;13.1;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p10_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p10_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p10;NA;p10;51.119913;3.235139;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;8;98.97;2.078296277033112;814.298105;8;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837;14;10.550000000000011;365;1244.2;2.43;40.7;5.7;12.8;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p11_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p11_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p11;NA;p11;51.120067;3.234797;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;7;100.01;2.303123762784535;668.569884;7;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837;14;10.550000000000011;365;1244.2;2.43;40.7;5.7;12.8;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p12_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p12_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p12;NA;p12;51.120175;3.234512;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;9;100;2.148790082877627;823.3619689999999;9;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837;14;10.550000000000011;365;1244.2;2.43;40.7;5.7;12.8;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p13_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p13_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p13;NA;p13;51.116535;3.242265;5;5;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;10;2.78;1.602619691517878;842.8808337999999;9;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;836.4000000000001;14;10.550000000000011;365;1243.5;2.67;42.7;5.6;13;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p14_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p14_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p14;NA;p14;51.116813;3.242824;5;5;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;6;79.1;1.0555497143470278;636.054854;6;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;836.4000000000001;14;10.550000000000011;365;1243.5;2.67;42.7;5.6;13;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p15_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p15_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p15;NA;p15;51.117118;3.243383;5;5;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;7;3.76;1.315039593431569;646.698456;6;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;836.4000000000001;14;10.550000000000011;365;1243.5;2.67;42.7;5.6;13;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p16_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p16_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p16;NA;p16;51.116424;3.243893;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;15;51.69;2.741776364505513;954.461839;13;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.67;42.7;5.6;13;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p17_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p17_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p17;NA;p17;51.116353;3.243536;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;12;25.4;2.8608495678356327;610.0192;10;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.67;42.7;5.6;13;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p18_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p18_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p18;NA;p18;51.116237;3.243192;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;20;72.2;2.7421480624103145;1073.556722;18;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.67;42.7;5.6;13;temperate
